TAMU Protocol ID	TAMU Protocol	NEMSIS Protocol ID	NEMSIS Protocol	Signs&Symptoms	History	Interventions Standby EMT	Interventions Basic EMT	Interventions Advanced EMT	Interventions Paramedic
AC_12	Wide Complex Tachycardia - Stable	9914151	Medical-Ventricular Tachycardia (With Pulse)	ECG findings: Sustained V-Tach3	Past medical history- medications, diet, drugs3; Syncope/Near syncope3; Palpitations3; Pacemaker or defibrillator3; CAD, CHF, Cardiomyopathy3	oxygen3	Oxygen3	IV/IO3; Fluid bolus3	Amiodarone3; Lidocane3; Sodium Bicarbonate3; Calcium Chloride3
AC_13	Wide Complex Tachycardia - Unstable	9914151	Medical-Ventricular Tachycardia (With Pulse)	ECG findings: Sustained V-Tach3	Cardiac stents, diabetes, hypertension, chest pain3; CAD, CHF, Cardiomyopathy3; Arrhythmia3; Pacer or implanted defibrillator3; Recent discharge of implanted3; defibrillator3; Medications3	oxygen3	Oxygen3	IV/IO3; Fluid bolus3	Synchronized Cardioversion3; Diazepam3; Midazolam3; Lorazepam3; Ketamine3
									
AE_02	Cold Related Emergency	9914023	Environmental-Cold Exposure	Shivering3; altered mental status3; cyanosis3; extreme pain or sensory abnormalities3; bradycardia3; hypotention or shock3	Exposure to cold temperatures3; Conditions of exposure: wetness, wind chill, duration3; Immersion3; Susceptible ages, very young and old3; Drug use: alcohol, barbiturates3; Infections/Sepsis3	Remove patient from cold environment3; Obtain core temperature when possible without delaying treatment3; Oxygen3; Prevent further heat loss3; Rewarming3	Remove patient from cold environment3; Obtain core temperature when possible without delaying treatment3; Oxygen3; Prevent further heat loss3; Rewarming3	IV/IO3; Fluid bolus3	Refer to approptiate protocol for airway management, arrhythmia, AMS, hypotension, trauma3; Refer to seizure protocol for persistent shivering or active seizure3
AE_03	Drowning	9914093	Injury-Drowning/Near Drowning	Submersion without cardiopulmonary arrest or hypothermia3; mental status changes3; dyspnea3; pulmonary edema3; foaming/vomiting3	Submersion in water regardless of depth3; Possible trauma incurred in or around the water3; Duration of submersion/immersion3	Remove patient from water if equipped and safe3; Oxygen3; External warning3; Supraglottic airway device3	CPAP 33; PEEP 53;	Intubate3; IV/IO3; Tracheal suctioning3	DSI/RSI3
AE_04	Envenomation – Animal, Insect, and Snake	9914079	Injury-Bites and Envenomations-Land	Rash, skin break, wound3; Pain, swelling, redness, bruising3; Evidence of infection3; Allergic reaction, hives, itching, burning, stinging3; Without hypotension3	Type of bite/sting3; Description or photo with patient for identification of animal/insect involved3; Time, location, size if bite/sting3; Previous reaction if applicable3; Domestic vs. wild3; Tetanus and rabies risk3	Avoid provider exposure to threat/animal/insect/reptile3; Remove patient from potential threat/animal/insect exposure3; Identify animal/insect/spider if possible, without additional exposure3; Insect or Spider3; Remove stinger if appropriate3; Immobilize injury and apply ice pack3; Remove constricting items/clothing3; Apply ice pack for swelling and comfort/pain management3; Snake3; Splint limb, bandage and place at level of heart (neither dependent nor elevated if possible)3; Minimize movement3; Mark margin of swelling/redness and note time3; DO NOT apply ice pack, tourniquet, or attempt to remove venom3; Animal/Mammal3; Splint limb, bandage and place at level below heart3; Remove constricting items3; Oxygen via most appropriate method3	Avoid provider exposure to threat/animal/insect/reptile3; Remove patient from potential threat/animal/insect exposure3; Identify animal/insect/spider if possible, without additional exposure3; Insect or Spider3; Remove stinger if appropriate3; Immobilize injury and apply ice pack3; Remove constricting items/clothing3; Apply ice pack for swelling and comfort/pain management3; Snake3; Splint limb, bandage and place at level of heart (neither dependent nor elevated if possible)3; Minimize movement3; Mark margin of swelling/redness and note time3; DO NOT apply ice pack, tourniquet, or attempt to remove venom3; Animal/Mammal3; Splint limb, bandage and place at level below heart3; Remove constricting items3; Oxygen via most appropriate method3	IV/IO access3; Pain management3	Midazolam 2 – 5 mg IV/IO/IM/IN for uncontrollable muscle spasms3; May repeat q 3 – 5 minutes PRN3
AE_05	Heat Related Emergency	9914027	Environmental-Heat Exposure/Exhaustion	Hyperthermia3; Altered mental status3; Syncopal episode, dizziness, weakness, N/V, tachycardia,3; Sweating or absence of thermal regulation abilities3; Cramping3; Fatigue or exhaustion3; Seizures3	Exposure to increased temperatures and/or high humidity3; Recent exertion or prolonged exposure to environment3; Conditions of exposure: duration, hydration status3; Susceptible ages, very young and very old3; Medication or Drug3; use/interactions: alcohol, thyroid3; Recent illness or injury3	Remove patient from warm/hot environment3; Obtain core temperature when possible without delaying treatment3; Oxygen via most appropriate method3; Prevent further heat exposure3; External cooling3	Remove patient from warm/hot environment3; Obtain core temperature when possible without delaying treatment3; Oxygen via most appropriate method3; Prevent further heat exposure3; External cooling3	IV/IO access3; Fluid bolus - room temperature fluid (NOT WARM/CHILLED IV fluids)3	Refer to appropriate protocol for airway management, arrhythmia, AMS, hypotension, trauma3; Refer to seizure protocol for persistent shivering while cooling or active seizure3; If Heat Stroke is suspected, rapid cooling via Cold Water Immersion (CWI) may take precedence over transporting if appropriate resources are available (Ice bath, equipment and adequate personnel) as early cooling decreases morbidity and mortality.3; Delayed transport for cooling is at the discretion of the In-Charge Paramedic after all other life-threatening conditions have been assessed and addressed.3; Devices which allow for rapid cooling while transporting the patient are encouraged (Polar Life Pod)3
									
AM_02	Abdominal Pain and Vomiting	9914109	Medical-Abdominal Pain	Abdominal pain: constant, intermittent, sharp, dull, cramping, radiation, etc.3; Rebound tenderness, increased pain on palpitation, increased pain on movement (Peritonitis)3; Distention/bloating3; Constipation, diarrhea3; Nausea, vomiting3; Flank pain radiating anteriorly3; Associated symptoms: fever, headache, weakness, malaise, myalgias, cough, dysuria3	Medical Etiology3; Surgical history3; Time of last meal3; Last bowl movement/emesis3; Improvement or worsening with BM or emesis3; Duration, changing location3; Family/Friends/Cohabitors with similar symptoms3; Menstrual history3; Travel history3; Blood emesis/diarrhea3; GERD/Acid reflux3; Recent trauma3	Oxygen via most appropriate method3; Zofran 4 mg ODT3; Strict NPO except for medication administration3	Oxygen via most appropriate method3; Zofran 4 mg ODT3; Strict NPO except for medication administration3	IV/IO access3; Fluid Bolus3; Zofran 4 – 8 mg ODT/IM/IV/IO3; If 4 mg initially administered, an additional 4 mg can be given after 10 minutes3; Once an IV is established, successive doses should be given IVP3; Max dose of 8 mg from all routes of administration3	Promethazine 12.5 mg Slow IV Push/Drip3; Pain Management3
AM_03	Aggresive and Violent Behavior	9914053	General-Behavioral/Patient Restraint	Anxiety, agitation, confusion, anger, fear, aggression3; Affect change, hallucinations3; Delusional thoughts, bizarre behavior3; Combative or violent3; Expression of suicidal/homicidal thoughts3; Hyperthermia3; Insensitivity to pain3	Situational crisis3; Psychiatric illness/medications3; Self-injury or threat to others3; Substance abuse/overdose3; Diabetes/medical3; Known violence3; Rage3	Always ensure provider safety, request and stage for law enforcement if indicated3; Remove patient from stimulating or stressful environment if possible3; Utilize verbal de-escalation techniques to reassure/calm the patient3; Oxygen via most appropriate method3; SMR if indicated3; Consider restraint procedure3	Always ensure provider safety, request and stage for law enforcement if indicated3; Remove patient from stimulating or stressful environment if possible3; Utilize verbal de-escalation techniques to reassure/calm the patient3; Oxygen via most appropriate method3; SMR if indicated3; Consider restraint procedure3	IV/IO access3	Temperature and glucose assessment required for any sedation under this protocol3; Chemical sedation if all other means to calm patient are ineffective3; Diazepam 4 – 10 mg IV/IM3; Repeat once after 10 minutes PRN OR3; Midazolam 2 – 5 mg IV/IM/IO/IN3; Repeat once after 10 minutes if needed OR3; Lorazepam 1 – 2 mg IV/IO/IM3; Repeat once after 10 minutes if needed OR 3; Ketamine 1 – 2 mg/kg IV/IO OR 4 mg/kg IM3; Repeat once after 10 minutes if needed3; Continuous ECG, BP, SpO2, and EtCO2 after sedation3
AM_04	Allergic Reaction and Anaphylaxis	9914111	Medical-Allergic Reaction/Anaphylaxis	rash/redness3; urticarial/hives3; dermal itching3; dyspnea3; wheezing3; stridor3; difficulty swallowing3; Chest or throat constriction3; Hypotension/shock3; AMS3	Previous history3; Exposure to allergen3; Onset and location3; Recent medication3; Food allergy/exposure/insect sting/envenomation3	Oxygen via the most appropriate method3; Diphenhydramine 25 mg PO3; DuoNeb (Albuterol 3 mg / Atrovent 0.5 mg) via Nebulizer3; Repeat x 2 q 10 minutes3; Epinephrine 1:1,000 0.3 mg IM3; Repeat x 2 q 5 minutes if indicated3	Oxygen via the most appropriate method3; Diphenhydramine 25 mg PO3; DuoNeb (Albuterol 3 mg / Atrovent 0.5 mg) via Nebulizer3; Repeat x 2 q 10 minutes3; Epinephrine 1:1,000 0.3 mg IM3; Repeat x 2 q 5 minutes if indicated3	IV/IO access3; Fluid Bolus3; Diphenhydramine 25 – 50 mg IV/IO3; max 50 mg total combined dose via PO or IV/IO route3	Epinephrine 1:1,000 0.3 mg IM3; Repeat PRN q 5 minutes3; Methylprednisolone 125 mg IV/IO3; Epinephrine 1:10,000 1 mg IV/IO if patient shows signs of vascular collapse3; Consider DSI/RSI3
AM_05	AMS and Unconsciousness	9914113	Medical-Altered Mental Status	Unresponsive or disoriented WITHOUT a clear mechanism3; Decreased mental status or lethargy3; Bizarre behavior3; Hypoglycemia (cool, diaphoretic skin)3;  Hyperglycemia (warm, dry skin; Kussmaul Respirations, signs of dehydration)3; Irritability3	Recent events3; Past medical history3; Drug or paraphernalia3; Report of illicit drug use or toxic ingestion3; Medications3; History of trauma3; Change in condition or medications3	Always ensure safety of the providers, request and stage for law enforcement if indicated3; 0xygen via most appropriate method3; SMR if indicated3; Consider restraint procedure3; Naloxone 2 mg IN/IM for respiratory depression if opiate use is suspected or cannot be excluded3; Repeat q 10 minutes PRN3	Always ensure safety of the providers, request and stage for law enforcement if indicated3; 0xygen via most appropriate method3; SMR if indicated3; Consider restraint procedure3; Naloxone 2 mg IN/IM for respiratory depression if opiate use is suspected or cannot be excluded3; Repeat q 10 minutes PRN3	Intubate3; IV/IO access3; Naloxone 2 mg IV/IO3; Repeat q 5 minutes PRN3	Consider DSI/RSI3
AM_06	Anxiety and Emotional Distress	9914053	General-Behavioral/Patient Restraint	Anxiety, agitation3; Hyperventilation3; Carpopedal spasms3; Tingling around mouth and hands3	Situational crisis3; History of recent traumatic event3; Post-traumatic stress disorder (PTSD)3	Remove patient from stimulation or stressful environment if possible3; If hyperventilation is secondary to trauma, pain, hypoxia, etc., move to appropriate protocol3; Utilize verbal de-escalation techniques to reassure/calm the patient3; Provide coached breathing instructions to help decrease ventilations3; Psychological support3; Oxygen via most appropriate method3	Remove patient from stimulation or stressful environment if possible3; If hyperventilation is secondary to trauma, pain, hypoxia, etc., move to appropriate protocol3; Utilize verbal de-escalation techniques to reassure/calm the patient3; Provide coached breathing instructions to help decrease ventilations3; Psychological support3; Oxygen via most appropriate method3	IV/IO access3	Chemical sedation if all other means to calm patient are ineffective3; Diazepam 4 – 10 mg IV/IM3; Repeat once after 10 minutes PRN OR3; Midazolam 2 – 5 mg IV/IM/IO/IN3; Repeat once after 10 minutes if needed OR3; Lorazepam 1 – 2 mg IV/IO/IM3; Repeat once after 10 minutes if needed OR3; Ketamine 1 – 2 mg/kg IV/IO or 4 mg/kg IM3; Repeat once after 10 minutes if needed3
AM_07	Bleeding – Non-traumatic	9914083	Injury-Bleeding/ Hemorrhage Control	Hypovolemia secondary to blood loss due to medical etiology3; Massive epistaxis3; Massive hemoptysis3; Bloody or coffee grounds emesis3; Bloody stools or rectal bleeding3; Extensive bruising3	Cancer history3; Anticoagulant use3; Low platelets/platelet disorder3; Hemophilias/clotting disorders3; Abdominal pain, vomiting3	Oxygen via most appropriate method3; Consider Trendelenburg3	Oxygen via most appropriate method3; Consider Trendelenburg3	IV/IO access3; Fluid bolus if SBP < 90 mmHg3; Repeat PRN to keep SBP > 90 mmHg3; Max 2 liters3; Secondary Vascular Access3	Pain Management3
AM_08	Dehydration	9914029	Environmental-Heat Stroke/Hyperthermia	Poor skin turgor3; Dry mucous membranes3; Dizziness, weakness3; Tachycardia3; Compensated or uncompensated hypovolemia3; Oliguria- decreased urine output3	Recent illness3; Poor nutrition3; Anorexia3; ETOH Abuse3; Excessive exercise/exertion3; Prolonged nausea, vomiting, and/or diarrhea3	Oxygen via most appropriate method3; Zofran 4 – 8 mg PO3	Oxygen via most appropriate method3; Zofran 4 – 8 mg PO3	IV/IO access3; Zofran 4 – 8 mg IV3; Fluid Bolus3	Refer to appropriate protocol to address symptoms3
AM_09	Diabetic Hyperglycemia	9914121	Medical-Hyperglycemia	BGL > 250 mg/dL with symptomatic presentation3; Altered Mental Status3; Tachypnea- Kussmaul respirations3; Tachycardia3; Abdominal pain, N/V3; Hypotension3; Dehydration (polyuria, polyphagia, polydipsia)3; Diaphoresis3	Known history3; New onset3; Medications3; Last meal/dietary indiscretion3	Oxygen via most appropriate method3	Oxygen via most appropriate method3	IV/IO access3; Zofran 4 – 8 mg IV/IO3; Fluid Bolus3; Continue infusion of NS 500 ml/hr3; Discontinue if pulmonary edema develops or s/s of CHF3	Calcium Chloride 1 gram IV/IO for wide complex QRS > 150 ms with signs of ketoacidosis or dialysis3; Refer to appropriate protocol to address symptoms3
AM_10	Diabetic Hypoglycemia	9914125	Medical-Hypoglycemia/Diabetic Emergency	BGL < 60 mg/dL with symptomatic presentation3; altered mental status3; tremors3; weakness3; N/V3; intense hunger3; diaphoresis3; malnourishment3; hypothermia3	Known history3; New onset3; Medications: excessive insulin use/abuse3; Absence of recent meal3; Malnutrition3	Oxygen via most appropriate method3; Oral glucose 15 g PO3; May repeat x 2 q 10 minutes until BGL > 60 mg/dL3	Oxygen via most appropriate method3; Oral glucose 15 g PO3; May repeat x 2 q 10 minutes until BGL > 60 mg/dL3	IV/IO access3; D10W 10 grams IV/IO3; Repeat blood glucose level check after 10 grams (100mL)3; Repeat as needed to maintain adequate mental status and/or BGL > 60 mg/dL3; D50% 12.5 – 25 grams IV/IO3; Repeat blood glucose level check after 10 minutes3; May be repeated x 1 after 10 min if symptoms persist3; Thiamine 50 mg IV/IO and 50 mg IM3; Prior to D50% or D10% administration ONLY if Thiamine deficiency is known/suspected or the patient presents with chronic malnutrition3	Glucagon 1 mg IM if unable to obtain IV/IO access3; Should be followed by Oral glucose once patient can follow commands and swallow3
AM_11	Dystonic Reaction	9914109	Medical-Abdominal Pain	Protrusion of the tongue3; Twisted neck or facial spasms3; Roving or deviated gaze3; Abdominal rigidity or pain3; Spasm of the entire body3; Twitching3	Recent ingestion of phenothiazine, fluphenazines, other neuroleptics or related drugs such as antipsychotics3; Known dystonic reaction or tardive dyskinesia3; Recent change or increase in neuroleptic medication3	Oxygen via most appropriate method3; Diphenhydramine 25 mg PO3	Oxygen via most appropriate method3; Diphenhydramine 25 mg PO3	IV/IO access3; Diphenhydramine 25 – 50 mg IV/IO3	Midazolam 2 – 5 mg IV/IM/IO/IN OR3; Lorazepam 1 – 2 mg IV/IO/IM3
AM_12	Fever	9914061	General-Fever	Temperature > 101 farenheit3; Altered mental status3; Weakness3; Warm, flushed, sweaty3; Chills/rigors3; Associated symptoms: flue like symptoms, myalgia, cough, chest pain, throat pain, headache, dysuria, abdominal pain, rash,3; Redness around infection sight/wound3	Evidence of determinable source for sepsis3; Duration and severity3; Immunocompromised (transplant, HIV, diabetes, cancer)3; Last intake of acetaminophen or ibuprofen3; Recent history of infection3	Appropriate PPE3; Oxygen via most appropriate method3; Acetaminophen 650 – 975 mg PO if no N/V3; Ibuprofen 400 – 800 mg PO3; External cooling3	Appropriate PPE3; Oxygen via most appropriate method3; Acetaminophen 650 – 975 mg PO if no N/V3; Ibuprofen 400 – 800 mg PO3; External cooling3	IV/IO access3; Fluid Bolus if SBP < 90 mmHg3; Repeat PRN to keep SBP > 90 mmHg3; Max 2 liters3	Refer to more appropriate protocol to address symptoms3
AM_13	Hypertensive Crisis	9914123	Medical-Hypertension	Systolic blood pressure > 220 mmHg and/or Diastolic blood pressure > 120 mmHg3; Evidence of end-organ dysfunction including: chest pain, dyspnea, severe headache, nausea/vomiting, seizure3; Epistaxis3	Medical etiology3; Associated diseases: diabetes, hypertension, renal failure, stroke, TIA,3; Hypertension medication3; Non-compliant with medications3; ED medications3	Neurological exam (stroke assessment- Cincinnati and VAN)3; Move to CVA/Stroke Protocol if stoke assessment is positive3; Oxygen via most appropriate method3; Reassess blood pressure if SBP > 220 mmHg and/or DBP > 120 mmHg3	Neurological exam (stroke assessment- Cincinnati and VAN)3; Move to CVA/Stroke Protocol if stoke assessment is positive3; Oxygen via most appropriate method3; Reassess blood pressure if SBP > 220 mmHg and/or DBP > 120 mmHg3	IV/IO access3	Nitro 0.4 mg SL3; May repeat x 3 q 5 minutes PRN to lower MAP 20%3; Labetalol 10 mg IV/IO over 2 minutes if SBP > 220 mmHg or DBP > 120 mmHg3; May repeat once after 15 minutes if SBP > 180 mmHg or DBP > 100 mmHg3
AM_14	Overdose / Poisoning	9914135	General-Overdose/Poisoning/Toxic Ingestion	Lethargy3; AMS3; Hypotension/hypertension3; Decreased respiratory rate3; Tachycardia, bradycardia, dysrhythmias3; Seizures3; Combative3; Unresponsive3; S.L.U.D.G.E / D.U.M.B.B.E.L.S3	Known or suspected illicit drugs or alcohol use3; Ingestion or injection of medication whether intentional or accidental3; Ingestion, inhalation or absorption of potentially harmful non-pharmaceutical substances3; Availability/access to medication/toxins/chemicals3; Quantity and duration of exposure3; Time of ingestion/exposure3; Route of exposure3; Multiple victims3	Always ensure provider safety, request and stage for law enforcement or fire department if indicated (HAZMAT, aggressive/violent individuals)3; Oxygen via most appropriate method3; Carbon monoxide poisoning: utilize NRB or BVM with high flow oxygen3; Naloxone 1 mg IN/IM for respiratory depression if opiate use is suspected or cannot be excluded3; Repeat x 2 q 10 minutes3	CPAP 3 – 10 cmH2O3; Suspected Carbon monoxide poisoning3	IV/IO access3; Fluid bolus3; Intubate3	Consider pacing for unstable bradycardic patients: see Bradycardia protocol3; Refer to Aggressive/Violent Behavior protocol if all other means to calm patient are ineffective3; Consider DSI/RSI3; Carbon monoxide poisoning3; SpCO > 15% or with exposure and pertinent S/S3; Oxygen via NRB or CPAP despite saturation3;Sympathomimetic overdose: Cocaine, PCP, Methamphetamine3; Midazolam 2 – 5 mg IV/IO/IM/IN3; Repeat q 5 minutes for max dose of 10 mg3; Lorazepam 2 – 4 mg IV/IO3; Repeat once after 5 minutes3; Organophosphate poisoning or Nerve Agent with parasympathetic symptoms3; Atropine 2 mg IV/IO/IM (for severe symptoms start with 6 mg)3; Repeat 2 mg q 3 – 5 minutes until symptom (bradycardia) resolves3; Beta blocker overdose:3; Glucogon 1 mg IV/IO/IM3; Atropine 1 mg IV/IO/IM3; Repeat q 3 minutes until bradycardia resolves3; Calcium channel blocker overdose:3; Calcium chloride 1 gram SLOW IV/IO3; Repeat once after 10 minutes PRN3; Tricyclic antidepressant (TCA) overdose with QRS > 0.16 seconds, hypotension, seizures, or AMS:3; Sodium bicarbonate 1 mEq/kg SLOW IV/IO3; May repeat once after 15 minutes if symptoms persist3; Ethylene glycol ingestion (antifreeze, automotive fluids, solvents, paints, cosmetics)3; Airway management is priority to reduce risk of aspiration.3; Sodium bicarbonate 1 mEq/kg SLOW IV/IO if patient appears very ill3; Chlorine, Nitrogen Dioxide or Phosgene gas exposure3; Wheezing present- nebulized 8.4% Sodium Bicarb (2 ml in 2ml NS) with DuoNeb treatment3; No wheezing- nebulized 8.4% Sodium Bicarb (2 ml in 2ml NS)3; May repeat once after 20 min3; Hypotension due to overdose/toxins3; Dopamine 10 – 20 mcg/kg/min IV/IO3; Administer if patient remains hypotensive after 1 liter bolus3; Titrate to sustain SBP > 90 mmHg
AM_15	Seizure	9914141	Medical-Seizure	Grand Mal, Petite, Focal seizure3; Tonic/Clonic convulsions3; Visual changes or aura3; Decreased or altered mental status3; Lethargic3; Postictal state3; Incontinence3; Unconsciousness3; Oral trauma from biting tongue3	History of seizures/epilepsy3; Observed seizure activity by bystander3; Head trauma3; New onset3; Onset, duration, number of seizures (back to back)3; Lucid interval3	Protect patient from potential hazards and objects during active seizure3; SMR if indicated3; Oxygen via most appropriate method3; External cooling if febrile3; Acetaminophen 650 – 975 mg PO if patient is awake and oriented without N/V3	Protect patient from potential hazards and objects during active seizure3; SMR if indicated3; Oxygen via most appropriate method3; External cooling if febrile3; Acetaminophen 650 – 975 mg PO if patient is awake and oriented without N/V3	IV/IO access3	Diazepam 5 – 10 mg IV/IO/IM/PR3; Repeat once after 5 minutes OR3; Midazolam 2 – 5 mg IV/IO/IM/IN3; Repeat once after 5 minutes OR3; Lorazepam 1 – 2 mg IV/IO/IM3; Repeat once after 5 minutes3; DSI/RSI procedure for status epilepticus3
AM_16	Sepsis	9914151	Medical-Ventricular Tachycardia (With Pulse)	Decreased perfusion, hypotension SBP < 90 mmHg, tachycardia3; Altered mental status3; Weakness3; Hypo/Hyperthermic3; Warm, flushed, sweaty3; Chills/rigors3; Associated symptoms: flu like symptoms, myalgia, cough, chest pain, throat pain, headache,dysuria, abdominal pain, rash,3; Redness around infection sight/wound3	Evidence of determinable source for sepsis3; Duration and severity3; Immunocompromised (transplant, HIV, diabetes, cancer)3; Last intake of acetaminophen or ibuprofen3; Recent history of infection3; Recent hospitalization3; Bedridden or immobile3	Appropriate PPE3; Oxygen via most appropriate method3; Sepsis Screening3; Acetaminophen 650 – 975 mg PO if no N/V3; Ibuprofen 400 – 800 mg3; External cooling3	Appropriate PPE3; Oxygen via most appropriate method3; Sepsis Screening3; Acetaminophen 650 – 975 mg PO if no N/V3; Ibuprofen 400 – 800 mg3; External cooling3	IV/IO access3; Fluid Bolus3; Secondary Vascular Access3	Norepinephrine (Levophed) 2 – 12 mcg/min IV/IO infusion for distributive (septic) shock.3; Administer if patient remains hypotensive after 2 liter bolus3; Titrate to sustain SBP > 90 mmHg or MAP > 65 mmHg3; Do not administer vasopressors for hypovolemic shock3; Dopamine 10 – 20 mcg/kg/min IV/IO if refractory3; Administer if patient remains hypotensive after 1 liter bolus3; Titrate to sustain SBP > 90 mmHg3
AM_17	Stroke	9914029	Environmental-Heat Stroke/Hyperthermia;	Altered mental status3; Hypertension: Blood pressure > 220 mmHg or diastolic blood pressure > 120 mmHg3; Unilateral or global paralysis/weakness/facial droop3; Sensory deprivation/loss (e.g. blindness, visual disturbance)3; Vertigo/dizziness3; Vomiting3; Seizures3; Ataxia3; Aphasia / Dysphasia3; Headache3	Previous CVA, TIA3; Previous vascular/cardiac surgery3; Associated diseases: diabetes, hypertension, CAD3; Atrial fibrillation3; Medications (blood thinners)3; History of trauma3; Time of onset3	Neurological exam (stroke assessment- Cincinnati then VAN if positive)3; Blood glucose level assessment3; Oxygen via most appropriate method3; Reassess blood pressure if SBP > 220 mmHg and/or DBP > 120 mmHg3	Neurological exam (stroke assessment- Cincinnati then VAN if positive)3; Blood glucose level assessment3; Oxygen via most appropriate method3; Reassess blood pressure if SBP > 220 mmHg and/or DBP > 120 mmHg3	IV/IO access3; Zofran 4 – 8 mg PO/IV/IO3; Secondary vascular access3	Labetalol 10 mg IV/IO over 2 minutes if SBP > 220 mmHg or DBP > 120 mmHg3; Repeat once after 15 minutes if SBP >180 or DBP > 1003; Consider DSI/RSI3
